song_id,song_name,song_type,explicit,entry_year,exit_year,n_years_on_chart,years_on_chart,weeks_on_chart,song_rank_entry,song_rank_peak,song_rank_final,entry_week,exit_week,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
4iQKUHjxe3gZ7AsBsDajwx,Dear Eloise,Solo,FALSE,1967,1968,2,1967;1968,8,15,51,49,1967-12-02,1968-01-20,186507,0.501,0.545,0.502,0,0.0653,-10.783,0.0309,0.481,103.878
4iQWG5hHImdDmvpntB1Fud,Show Me What You Got,Solo,TRUE,2006,2007,2,2006;2007,15,11,93,17,2006-10-21,2007-01-27,227440,0.0702,0.541,0.727,0,0.156,-4.69,0.0484,0.581,105.785
4iQZi2sMZlbTpcUlo5YGBf,Midnight Blue,Solo,FALSE,1987,1987,1,1987,20,19,96,1,1987-01-31,1987-06-13,236093,0.134,0.664,0.695,0.0444,0.108,-11.543,0.0292,0.656,113.762
4iTBdIrYcGkNPWpXGwutVZ,Spend My Life,Solo,FALSE,1990,1991,2,1990;1991,13,5,62,13,1990-12-22,1991-03-16,203427,0.0193,0.529,0.877,5.67e-6,0.343,-11.053,0.0508,0.583,115.081
4iTyf5pLZMOR8YrEZgSopo,Believe,Solo,TRUE,2018,2018,1,2018,1,9,9,9,2018-01-03,2018-01-03,315347,0.16,0.884,0.492,0,0.359,-5.343,0.112,0.11,130.072
4iW98ZK1gNzcXmQ5TgTD9X,I Just Want To Celebrate,Solo,FALSE,1971,1971,1,1971,13,22,94,75,1971-07-17,1971-10-09,217560,0.0968,0.438,0.927,1.53e-6,0.0145,-7.685,0.226,0.635,176.627
4iWcVWPXHfUUePqjPEXmZt,In Time,Solo,FALSE,1972,1972,1,1972,8,15,32,31,1972-08-05,1972-09-23,196360,0.195,0.483,0.396,1.71e-5,0.111,-10.223,0.025,0.34,96.482
4iXWe5gqLfhyq7m3fJ8ifO,Oops (Oh My),Solo,TRUE,2002,2002,1,2002,20,47,94,9,2002-02-09,2002-06-22,237800,0.233,0.66,0.536,0.00669,0.111,-8.786,0.29,0.775,159.963
4iXZFxEUzTTLMLE5jCyKEb,Your Body's Callin',Solo,FALSE,1994,1994,1,1994,20,29,88,34,1994-05-14,1994-09-24,277493,0.457,0.658,0.55,7.28e-4,0.114,-6.705,0.0302,0.727,168.289
4iY1U3YRGoBEgaRNlvhZyJ,It Should Have Been Me,Solo,FALSE,1968,1968,1,1968,8,35,61,51,1968-06-08,1968-07-27,167507,0.547,0.603,0.409,0,0.319,-13.365,0.0457,0.687,101.69
4iYrHuW4C4IsjE7s9HbnxS,Throwing It All Away,Solo,FALSE,1986,1986,1,1986,16,47,97,14,1986-08-16,1986-11-29,230093,0.497,0.619,0.663,0.00243,0.0713,-4.048,0.0244,0.394,84.049
4ihZr8OnBdeJIEdiDvhfra,Oh featuring M Pokora (feat. Ludacris) - French Remix,Collaboration,FALSE,2005,2005,1,2005,23,26,99,60,2005-03-26,2005-08-27,226480,1.95e-4,0.815,0.448,0,0.0796,-6.513,0.0408,0.551,126.554
4iiLzvbh0bXMnomiB6DIuk,You Are the Woman,Solo,FALSE,1976,1977,2,1976;1977,22,19,92,43,1976-08-21,1977-01-15,164440,0.535,0.753,0.469,0,0.29,-11.64,0.0339,0.838,120.918
4iihDHIoKZdOeOW1kFDUtR,Jaded,Solo,FALSE,2001,2001,1,2001,20,43,94,48,2001-01-27,2001-06-09,214333,0.005,0.517,0.89,1.47e-5,0.0824,-4.033,0.053900000000000003,0.632,118.009
